"File","Type","Refs"
"ic_account.xml","XML","2"
"ic_add.png","PNG","28"
"ic_add_friend.xml","XML","0"
"ic_address_add_location.xml","XML","1"
"ic_address_edit.xml","XML","2"
"ic_address_home.xml","XML","1"
"ic_address_location_pin.xml","XML","2"
"ic_address_office.xml","XML","1"
"ic_address_phone.xml","XML","2"
"ic_address_trash.xml","XML","6"
"ic_address_user.xml","XML","2"
"ic_agent.xml","XML","0"
"ic_ai_outline.xml","XML","2"
"ic_arrow_back.xml","XML","37"
"ic_arrow_back_thin.xml","XML","30"
"ic_arrow_forward.xml","XML","1"
"ic_article_outline.xml","XML","9"
"ic_bag.xml","XML","13"
"ic_basket_outline.xml","XML","1"
"ic_bell.png","PNG","51"
"ic_bin.png","PNG","1"
"ic_blog_bodycare.png","PNG","1"
"ic_blog_cosmetics.png","PNG","1"
"ic_blog_haircare.png","PNG","1"
"ic_blog_skincare.png","PNG","1"
"ic_box.xml","XML","6"
"ic_break_heart.png","PNG","1"
"ic_briefcase.xml","XML","2"
"ic_calendar.xml","XML","15"
"ic_calendar_outline.xml","XML","14"
"ic_camera.png","PNG","15"
"ic_cancel.xml","XML","9"
"ic_cart.png","PNG","26"
"ic_cart_checked.xml","XML","10"
"ic_cart_on_green.xml","XML","6"
"ic_cart_unchecked.xml","XML","15"
"ic_cash.xml","XML","5"
"ic_chat.xml","XML","4"
"ic_chat_chevron_right.xml","XML","1"
"ic_check.xml","XML","49"
"ic_check_circle.xml","XML","21"
"ic_checkbox_checked_line.xml","XML","1"
"ic_checkbox_unchecked_line.xml","XML","1"
"ic_checklist.xml","XML","5"
"ic_chevron_down.xml","XML","12"
"ic_chevron_down_thin.xml","XML","2"
"ic_chevron_left.xml","XML","41"
"ic_chevron_right.xml","XML","42"
"ic_chevron_up_thin.xml","XML","2"
"ic_circle_outline.xml","XML","10"
"ic_circle_plus.png","PNG","1"
"ic_clipboard_outline.xml","XML","7"
"ic_clock.xml","XML","12"
"ic_close.xml","XML","26"
"ic_close_circle.xml","XML","2"
"ic_close_grey.xml","XML","2"
"ic_coin.xml","XML","22"
"ic_coin_outline.xml","XML","1"
"ic_combo.xml","XML","2"
"ic_comment.png","PNG","4"
"ic_community.xml","XML","2"
"ic_contact.xml","XML","1"
"ic_content_copy.xml","XML","1"
"ic_credit_card.xml","XML","4"
"ic_dash.xml","XML","6"
"ic_dashed_arrow_down.xml","XML","3"
"ic_diamond.xml","XML","1"
"ic_double_chevron_down.xml","XML","2"
"ic_double_chevron_up.xml","XML","2"
"ic_download.xml","XML","1"
"ic_edit.xml","XML","3"
"ic_email.xml","XML","1"
"ic_eye.xml","XML","4"
"ic_face.xml","XML","6"
"ic_facebook.png","PNG","2"
"ic_filter.png","PNG","5"
"ic_flip_camera.xml","XML","1"
"ic_friend.png","PNG","2"
"ic_gallery.png","PNG","3"
"ic_gift.xml","XML","13"
"ic_globe.xml","XML","4"
"ic_globe_outline.xml","XML","3"
"ic_google.png","PNG","2"
"ic_gov_seal.xml","XML","0"
"ic_grid.xml","XML","5"
"ic_hair.xml","XML","0"
"ic_hand_tap.xml","XML","1"
"ic_heart.xml","XML","16"
"ic_heart_broken.xml","XML","0"
"ic_heart_filled.xml","XML","8"
"ic_heart_outline.xml","XML","16"
"ic_help.xml","XML","7"
"ic_highlight_outline.xml","XML","1"
"ic_home.xml","XML","10"
"ic_hourglass.xml","XML","1"
"ic_info_olive.xml","XML","5"
"ic_launcher.png","PNG","7"
"ic_launcher_background.xml","XML","2"
"ic_launcher_foreground.xml","XML","2"
"ic_layer.xml","XML","1"
"ic_leaf_ingredients.png","PNG","1"
"ic_like.png","PNG","2"
"ic_lips.xml","XML","2"
"ic_live_outline.xml","XML","1"
"ic_location.xml","XML","15"
"ic_lock.xml","XML","3"
"ic_lock_outline.xml","XML","1"
"ic_lockerror.png","PNG","1"
"ic_logo_ol.png","PNG","4"
"ic_logo_rootie.png","PNG","2"
"ic_logout_outline.xml","XML","2"
"ic_mail_opened.xml","XML","2"
"ic_menu.xml","XML","6"
"ic_menu_sort.xml","XML","2"
"ic_micro.png","PNG","1"
"ic_minus.xml","XML","2"
"ic_momo.png","PNG","3"
"ic_moon_outline.xml","XML","2"
"ic_more_dots.xml","XML","1"
"ic_more_horiz.xml","XML","4"
"ic_myskin.png","PNG","1"
"ic_nav_com_chat.xml","XML","1"
"ic_nav_com_explore.xml","XML","1"
"ic_nav_com_feed.xml","XML","1"
"ic_nav_com_hub.xml","XML","1"
"ic_nav_com_profile.xml","XML","3"
"ic_navigation_arrow.xml","XML","2"
"ic_order_success.xml","XML","0"
"ic_phone.png","PNG","6"
"ic_plane.png","PNG","13"
"ic_play.xml","XML","1"
"ic_post.png","PNG","1"
"ic_public.png","PNG","1"
"ic_qr_code.xml","XML","1"
"ic_qr_placeholder.xml","XML","2"
"ic_qrscan.xml","XML","2"
"ic_radio_primary_checked.xml","XML","2"
"ic_radio_primary_unchecked.xml","XML","5"
"ic_radio_selected.xml","XML","1"
"ic_radio_unselected.xml","XML","2"
"ic_reel_outline.xml","XML","2"
"ic_reels.png","PNG","1"
"ic_reup.png","PNG","2"
"ic_revenue_chart.xml","XML","1"
"ic_ribbon.xml","XML","1"
"ic_routine_cleanser.xml","XML","1"
"ic_routine_cream.xml","XML","0"
"ic_routine_serum.xml","XML","0"
"ic_routine_sunscreen.xml","XML","0"
"ic_routine_toner.xml","XML","0"
"ic_save.png","PNG","6"
"ic_save_full.png","PNG","2"
"ic_scan_face.xml","XML","1"
"ic_scan_lightbulb.xml","XML","1"
"ic_scan_phone.xml","XML","1"
"ic_scan_sparkles.xml","XML","1"
"ic_search.png","PNG","34"
"ic_send_white.xml","XML","2"
"ic_settings.xml","XML","4"
"ic_settings_outline.xml","XML","1"
"ic_shield_checkmark.xml","XML","1"
"ic_shield_outline.xml","XML","2"
"ic_shield_verified.xml","XML","2"
"ic_shop.xml","XML","1"
"ic_shortcut_handbook.png","PNG","1"
"ic_shortcut_ingredient.xml","XML","1"
"ic_shortcut_news.png","PNG","1"
"ic_shower.xml","XML","2"
"ic_skin_acne_outline.xml","XML","1"
"ic_skin_ai_sparkles.xml","XML","1"
"ic_skin_bell.xml","XML","0"
"ic_skin_bulb.xml","XML","1"
"ic_skin_calendar_grid.xml","XML","1"
"ic_skin_calendar_small.xml","XML","0"
"ic_skin_calendar_todo.xml","XML","0"
"ic_skin_chevron_right.xml","XML","0"
"ic_skin_evenness_outline.xml","XML","1"
"ic_skin_fire.xml","XML","2"
"ic_skin_history.xml","XML","3"
"ic_skin_mainbar.png","PNG","2"
"ic_skin_mainbar_nav.xml","XML","2"
"ic_skin_mainbar_nonactive.png","PNG","0"
"ic_skin_medal.xml","XML","1"
"ic_skin_moisture.xml","XML","5"
"ic_skin_moon.xml","XML","3"
"ic_skin_pigmentation.xml","XML","2"
"ic_skin_pores.xml","XML","2"
"ic_skin_reminder.xml","XML","1"
"ic_skin_routine_white.xml","XML","7"
"ic_skin_sensitivity.xml","XML","2"
"ic_skin_settings.xml","XML","1"
"ic_skin_share.xml","XML","1"
"ic_skin_sparkle.xml","XML","3"
"ic_skin_spot_outline.xml","XML","1"
"ic_skin_star.xml","XML","1"
"ic_skin_sun.xml","XML","3"
"ic_skin_target.xml","XML","1"
"ic_skin_trend.xml","XML","1"
"ic_skin_type_outline.xml","XML","2"
"ic_skin_weather.xml","XML","3"
"ic_skin_weather_noti.xml","XML","2"
"ic_skin_wrinkle_outline.xml","XML","1"
"ic_skincare.xml","XML","5"
"ic_sort.xml","XML","2"
"ic_star.xml","XML","33"
"ic_star_gold.xml","XML","10"
"ic_star_outline.xml","XML","1"
"ic_store.xml","XML","8"
"ic_store_outline.xml","XML","2"
"ic_story_outline.xml","XML","3"
"ic_sun_outline.xml","XML","0"
"ic_switch_track_off.xml","XML","37"
"ic_switch_track_on.xml","XML","8"
"ic_switch_track_on_yellow.xml","XML","3"
"ic_tag.xml","XML","4"
"ic_time.xml","XML","4"
"ic_truck.xml","XML","13"
"ic_user_card_outline.xml","XML","1"
"ic_user_edit_outline.xml","XML","1"
"ic_user_outline.xml","XML","9"
"ic_verified.xml","XML","6"
"ic_video_call.png","PNG","2"
"ic_vnpay.png","PNG","4"
"ic_voucher.xml","XML","10"
"ic_wallet.xml","XML","2"
"ic_warning_red.xml","XML","3"
"ic_warning_rhomb.xml","XML","1"
"ic_water_drop.xml","XML","5"
"ic_water_drop_outline.xml","XML","4"
"ic_weather_dislike.xml","XML","1"
"ic_weather_drop.xml","XML","1"
"ic_weather_like.xml","XML","1"
"ic_weather_lotion.xml","XML","1"
"ic_weather_protect.xml","XML","1"
"ic_weather_sparkles.xml","XML","2"
"ic_weather_sun.xml","XML","4"
"ic_weather_sun_outlined.xml","XML","1"
"ic_weather_wand.xml","XML","2"
"ic_weather_warning.xml","XML","1"
"ic_welcome_1.png","PNG","1"
"ic_welcome_2.png","PNG","1"
"ic_welcome_3.png","PNG","1"
"home_ic_qr.xml","XML","1"
"home_ic_social_circle.xml","XML","0"
